CVE-ID,poc,苹果描述,影响,模块,版本,
CVE-2014-9495,http://tfpwn.com/files/libpng_heap_overflow_1.6.15.txt,1.6.20版本前的libpng存在多个漏洞导致任意代码执行,任意代码执行,python,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-0973,http://tfpwn.com/files/libpng_heap_overflow_1.6.15.txt,1.6.20版本前的libpng存在多个漏洞导致任意代码执行,任意代码执行,python,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-1819,未发现,通过一个而已的XML文件可能导致DOS或者任意代码执行,"DOS ",libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-3195,未发现,0.98zh之前的openssl存在一个内存泄露的问题将导致DOS,DOS,OpenSSL,OS X El Capitan v10.11 to v10.11.3,
CVE-2015-5312,未发现,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-7499,未发现,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-7500,未发现,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-7551,https://www.ruby-lang.org/zh_tw/news/2015/12/16/unsafe-tainted-string-usage-in-fiddle-and-dl-cve-2015-7551/,本地攻击者可能导致DOS或者任意代码执行,"DOS 任意代码执行",Ruby,OS X El Capitan v10.11 to v10.11.3,
CVE-2015-7942,https://bugzilla.gnome.org/show_bug.cgi?id=744980#c7,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-8035,https://bugzilla.gnome.org/show_bug.cgi?id=757466,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-8126,https://bugs.chromium.org/p/chromium/issues/detail?id=560291,通过一个构造的png文件导致任意代码执行,任意代码执行,Tcl,"OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-8242,https://bugzilla.gnome.org/show_bug.cgi?id=756372,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-8472,未发现,1.6.20版本前的libpng存在多个漏洞导致任意代码执行,任意代码执行,"Python apache_mod_php","OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2015-8659,未发现,HTTPProtocol的实现中，nghttp2 1.6.0之前版本存在安全漏洞，可导致远程执行任意代码。,远程任意代码执行,HTTPProtocol,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-0777,https://www.qualys.com/2016/01/14/cve-2016-0777-cve-2016-0778/openssh-cve-2016-0777-cve-2016-0778.txt,连接到服务器有可能泄露用户信息，私钥,信息泄露,OpenSSH,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2016-0778,https://www.qualys.com/2016/01/14/cve-2016-0777-cve-2016-0778/openssh-cve-2016-0777-cve-2016-0778.txt,连接到服务器有可能泄露用户信息，私钥,DOS,OpenSSH,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
"CVE-2016-0801 CVE-2016-0802",未发现,有权限的攻击者可以执行任意代码,任意代码执行,"Wi-Fi
",Available for: OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1732,未发现,"可以泄露内核的真实地址,从而为其他针对内核的攻击创造条件",信息泄露,AppleRAID,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1733,未发现,可以造成内核代码执行,内核代码执行,AppleRAID,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1734,未发现,usb驱动解析数据时会导致内存腐坏，导致内核权限代码执行,内核代码执行,AppleUSBNetworking,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1735,未发现,在内存操作中存在多个内存腐坏，导致内核权限代码执行,内核代码执行,Bluetooth,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1736,未发现,在内存操作中存在多个内存腐坏，导致内核权限代码执行,内核代码执行,Bluetooth,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1737,未发现,在处理字体文件的时候存在多处内存腐坏,任意代码执行,Carbon,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1738,未发现,数字签名模块中存在问题,绕过签名,dyld,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1740,未发现,内存处理中存在内存腐坏问题,"任意代码执行 DOS",FontParser,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1741,未发现,内存处理中存在内存腐坏问题,"任意代码执行 DOS","NVIDIA Graphics Drivers
",OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1743,未发现,内存处理中存在内存腐坏问题，可能拥有内核代码执行权限,内核代码执行,"Intel Graphics Driver
",OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1744,https://bugs.chromium.org/p/project-zero/issues/detail?id=708,内存处理中存在内存腐坏问题，可能拥有内核代码执行权限,内核代码执行,"Intel Graphics Driver
",OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1745,未发现,空指针引用导致DOS,DOS,IOFireWireFamily,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1746,未发现,不合法的输入导致内存腐坏,内核权限代码执行,IOGraphics,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1747,未发现,不合法的输入导致内存腐坏,内核权限代码执行,IOGraphics,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1748,未发现,内存处理时导致内存的腐坏,信息泄露,IOHIDFamily,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1749,https://bugs.chromium.org/p/project-zero/issues/detail?id=728,内存处理时有多个会导致内存腐坏的问题,内核权限代码执行,IOUSBFamily,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1750,https://bugs.chromium.org/p/project-zero/issues/detail?id=728,内场管理的模块存在UAF的漏洞,内核权限代码执行,Kernel,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1752,未发现,A denial of service issue was addressed through improved validation.,DOS,Kernel,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1753,未发现,存在多个因为不合法的输入导致的整数溢出,内核权限代码执行,Kernel,OS X El Capitan v10.11 to v10.11.3,
"CVE-2016-1754 CVE-2016-1755 CVE-2016-1759","https://bugs.chromium.org/p/project-zero/issues/detail?id=710 https://bugs.chromium.org/p/project-zero/issues/detail?id=710",内存处理存在多个问题导致内存腐坏,"内核代码执行 DOS",Kernel,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1756,未发现,异常的输入导致空指针引用,任意代码执行,Kernel,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1757,https://bugs.chromium.org/p/project-zero/issues/detail?id=676,创建新的进程时存在条件竞争的问题,任意代码执行,Kernel,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1758,未发现,异常的输入导致内存越界,信息泄露,Kernel,OS X El Capitan v10.11 to v10.11.3,
"CVE-2016-1761 CVE-2016-1762",未发现,通过一个而已的XML文件可能导致DOS或者任意代码执行,"任意代码执行 DOS",libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",
CVE-2016-1764,未发现,javascript的连接处理存在一个漏洞,信息泄露,Messages,OS X El Capitan v10.11 to v10.11.3,
"CVE-2016-1767 CVE-2016-1768",未发现,内存处理时存在多个问题导致内存腐坏,"任意代码执行 DOS",QuickTime,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1769,未发现,内存处理时存在多个问题导致内存腐坏,"任意代码执行 DOS",QuickTime,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1770,未发现,点击一个tel link可以绕过用户播出一个电话,其他,Reminders,OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1773,未发现,数字签名工具存在权限问题，导致用户可以确认任意文件是否存在,其他,Security,Available for: OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1775,未发现,异常的输入导致内存腐坏,"远程任意代码执行 DOS","TrueTypeScaler
",Available for: OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1788,未发现,A cryptographic issue was addressed by rejecting duplicate messages on the client.,信息泄露,Messages,Available for: OS X El Capitan v10.11 to v10.11.3,
CVE-2016-1950,未发现,ASN.1 decoder存在内存腐坏的问题,任意代码执行,Security,Available for: OS X El Capitan v10.11 to v10.11.3,
