CVE-ID,CVE描述,苹果描述,影响,模块,版本,poc
CVE-2014-9495,在1.5.21版本之前，以及1.6.x且1.6.16版本之前的libpng中的png_combine_row函数存在堆溢出，在64位操作系统中，允许攻击者通过构造的PNG图片执行任意代码,1.6.20版本前的libpng存在多个漏洞导致任意代码执行,任意代码执行,python,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",http://tfpwn.com/files/libpng_heap_overflow_1.6.15.txt
CVE-2015-0973,libpng 1.5.21之前版本和1.6.16之前1.6.x版本的pngrutil.c文件中的‘png_read_IDAT_data’函数存在缓冲区溢出漏洞。攻击者可借助带有超长宽度的IDAT数据利用该漏洞执行任意代码。,1.6.20版本前的libpng存在多个漏洞导致任意代码执行,任意代码执行,python,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",http://tfpwn.com/files/libpng_heap_overflow_1.6.15.txt
CVE-2015-1819,"libxml2是XML解析程序和标记工具集。
libxml2未正确处理某些XML数据。通过精心构造的文档，攻击者造成资源耗尽，导致拒绝服务。",通过一个而已的XML文件可能导致DOS或者任意代码执行,"DOS ",libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",未发现
CVE-2015-3195,"OpenSSL 0.9.8zh之前版本,1.0.0-1.0.0t, 1.0.1-1.0.1q, 1.0.2-1.0.2e版本crypto/asn1/tasn_dec.c中，ASN1_TFLG_COMBINE在实现上错误处理了畸形X509_ATTRIBUTE数据造成的错误。通过触发PKCS#7或CMS应用的解码失败，远程攻击者利用此漏洞可获取进程内存的敏感信息。",0.98zh之前的openssl存在一个内存泄露的问题将导致DOS,DOS,OpenSSL,OS X El Capitan v10.11 to v10.11.3,未发现
CVE-2015-5312,2.9.3之前的libxml在parser.c中的xmlStringLenDecodeEntities函数存在一个漏洞， libxml2未正确处理某些XML数据。通过精心构造的文档，攻击者造成资源耗尽，导致拒绝服务。,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",未发现
CVE-2015-7499,在libxml2的实现中存在内存破坏安全漏洞，处理恶意构造的XML过程中可导致应用意外中止或任意代码执行,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",未发现
CVE-2015-7500,libxml2 2.9.3之前版本，函数xmlParseMisc存在安全漏洞，上下文独立的攻击者利用此漏洞可造成拒绝服务（越界堆读）。,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",未发现
CVE-2015-7551,"Fiddle 與 DL 函式庫發現了不安全的字串用途瑕疵所產生的安全性風險。本問題初見於 DL 的 CVE-2009-5147，但在 DL 重新使用 Fiddle 和 libffi 實作後重新發現。

CVE-2009-5147 曾在 Ruby 1.9.1 版本修復，但其它分支並未修復，Ruby 1.9 系列除了 1.9.1 之外，有打包 DL 的版本都存在此安全性風險。",本地攻击者可能导致DOS或者任意代码执行,"DOS 任意代码执行",Ruby,OS X El Capitan v10.11 to v10.11.3,https://www.ruby-lang.org/zh_tw/news/2015/12/16/unsafe-tainted-string-usage-in-fiddle-and-dl-cve-2015-7551/
CVE-2015-7942,"libxml2是XML解析程序和标记工具集。

libxml2 停止解析某些无效的XML数据时，parser.c内的xmlParseConditionalSections函数未正确跳过中介实体。通过构造的XML数据，上下文攻击者造成资源耗尽，导致拒绝服务。",通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",https://bugzilla.gnome.org/show_bug.cgi?id=744980#c7
CVE-2015-8035,libxml2的实现中存在内存破坏安全漏洞，处理恶意构造的XML过程中可导致应用意外中止或任意代码执行。,通过一个而已的XML文件可能导致DOS或者任意代码执行,DOS,libxml2,"OS X Mavericks v10.9.5 OS X Yosemite v10.10.5 OS X El Capitan v10.11 to v10.11.3",https://bugzilla.gnome.org/show_bug.cgi?id=757466
